Nombre,ISIN,Rent Total 1 Día,Rent Total 1 Semana,Rent Total 1 Mes,Rent Total 3 Meses,Rent Total 6 Meses,Rent Total Año,Rent Total 1 Año,Rent Total 3 Años,Rent Total 5 Años,Rent Total 10 Años
iShares £ Corp Bond ex-Fncl ETF GBP Dist,IE00B4L60H17,"0,05 %","1,01 %","2,08 %","3,05 %","4,85 %","5,84 %","5,40 %","6,42 %","−1,83 %","2,09 %"
iShares £ Index-Lnkd Gilts ETF GBP Dist,IE00B1FZSD53,"−0,49 %","0,45 %","2,62 %","2,62 %","1,89 %","0,48 %","−4,60 %","−4,27 %","−8,72 %","−0,80 %"
iShares £ Ultrashort Bond ETF GBP Dist,IE00BCRY6441,"0,02 %","0,18 %","0,54 %","1,18 %","2,44 %","3,99 %","5,04 %","5,04 %","3,16 %","2,01 %"
iShares £ Ultrashort ESG SRI ETF GBP Inc,IE00BJP26F04,"0,00 %","0,24 %","0,44 %","1,25 %","2,57 %","4,07 %","4,97 %","5,01 %","3,12 %",—
iShares € AAA CLO Active ETF EUR Acc,IE000Q9IHH10,"< 0,01 %","0,05 %","0,27 %","0,91 %",—,—,—,—,—,—
iShares € Aggt Bd ESG SRI ETF EUR Acc,IE000CR3ZDF9,"−0,34 %","−0,26 %","0,93 %","0,94 %","0,61 %","1,59 %","1,67 %",—,—,—
iShares € Aggt Bd ESG SRI ETF EUR Dist,IE00B3DKXQ41,"−0,21 %","−0,22 %","0,95 %","0,95 %","0,76 %","1,45 %","1,78 %","3,65 %","−2,09 %","0,16 %"
iShares € Cash ETF EUR Acc,IE000JJPY166,"< 0,01 %","0,04 %","0,12 %","0,44 %","0,99 %","1,78 %",—,—,—,—
iShares € Corp Bd 0-3yr ESG SRI ETF€Dist,IE00BYZTVV78,"−0,01 %","0,08 %","0,37 %","0,71 %","1,52 %","2,75 %","3,28 %","4,04 %","1,47 %",—
iShares € Corp Bd 0-3yr ESGSRIETFCHFHAcc,IE00BMV3LS66,"0,00 %","−0,07 %","0,09 %","0,07 %","0,30 %","0,69 %","0,82 %","1,68 %",—,—
iShares € Corp Bd ESG Prs-AlgClmtETF€Acc,IE000SE6KPV2,"−0,08 %","−0,00 %","0,75 %","1,14 %","2,14 %","3,39 %","3,88 %","5,83 %",—,—
iShares € Corp Bd ESG SRI ETF CHF H Acc,IE00BMDBMP28,"−0,13 %","0,00 %","0,55 %","0,59 %","0,81 %","1,32 %","1,28 %","3,35 %",—,—
iShares € Corp Bd ESG SRI ETF EUR Dist,IE00BYZTVT56,"−0,07 %","0,05 %","0,68 %","1,13 %","2,14 %","3,33 %","3,77 %","5,73 %","0,06 %",—
iShares € Corp Bd ESG SRI ETF GBP H Inc,IE00BK74KV56,"−0,08 %","0,08 %","0,84 %","1,73 %","3,03 %","5,05 %","5,70 %","7,37 %","1,29 %",—
iShares € Corp BdIntrRtHESGSRIETFEURDist,IE00B6X2VY59,"0,19 %","0,16 %","0,31 %","0,80 %","2,77 %","3,68 %","4,80 %","6,30 %","2,67 %","1,56 %"
iShares € Corp Bond 1-5yr ETF EUR Dist,IE00B4L60045,"−0,02 %","0,03 %","0,54 %","0,85 %","1,81 %","3,42 %","3,85 %","5,04 %","1,09 %","1,11 %"
iShares € Corp Bond 1-5yr ETF GBP H Dist,IE000WY37YU4,"−0,02 %","0,06 %","0,68 %","1,36 %","2,87 %","5,13 %","5,83 %",—,—,—
iShares € Corp Bond 1-5yr ETF USD H Acc,IE0009XKZC98,"0,00 %","0,00 %","0,59 %","1,59 %","4,17 %","5,12 %","7,19 %",—,—,—
iShares € Corp Bond 1-5yr ETF USD H Dist,IE000XFCOS45,"0,00 %","0,00 %","1,04 %","0,02 %","4,59 %","5,01 %","7,14 %",—,—,—
iShares € Corp Bond BBB-BB ETF EUR Dist,IE00BSKRK281,"−0,03 %","0,09 %","0,55 %","1,10 %","2,19 %","3,62 %","4,19 %","6,49 %","0,78 %","1,77 %"
iShares € Corp Bond Enh Act ETF € Acc,IE000BUIVY49,"−0,12 %","−0,10 %","0,72 %","1,24 %","2,29 %",—,—,—,—,—
iShares € Corp Bond ex-Fncl ETF EUR Dist,IE00B4L5ZG21,"−0,04 %","−0,00 %","0,81 %","1,23 %","1,87 %","3,16 %","3,63 %","5,37 %","−0,23 %","1,20 %"
iShares € Corp Bond Fncl ETF EUR Dist,IE00B87RLX93,"−0,07 %","−0,02 %","0,68 %","1,14 %","2,35 %","3,75 %","4,28 %","6,61 %","0,57 %","1,50 %"
iShares € Corp Bond Lg Cp ETF EUR Dist,IE0032523478,"−0,07 %","0,13 %","0,90 %","1,12 %","2,00 %","3,51 %","3,79 %","5,56 %","−0,28 %","1,04 %"
iShares € CorpBd exFncl1-5yESGSRIETF€Acc,IE00BKT6BH25,"−0,06 %","0,10 %","0,54 %","0,70 %","1,52 %","2,97 %","3,44 %","4,14 %","0,74 %",—
iShares € CorpBdexFncl1-5yESGSRIETF€Dist,IE00B4L5ZY03,"−0,15 %","−0,00 %","0,50 %","0,73 %","1,47 %","2,96 %","3,41 %","4,11 %","0,72 %","0,89 %"
iShares € Covered Bond ETF EUR Dist,IE00B3B8Q275,"−0,14 %","−0,15 %","0,51 %","0,83 %","0,75 %","2,69 %","2,52 %","3,60 %","−1,18 %","0,05 %"
iShares € Flex Inc Bd Act ETF EUR Dist,IE000NHAIBN0,"0,17 %","0,41 %","−0,09 %","1,22 %","4,06 %",—,—,—,—,—
iShares € Floating Rate Bd Advcd ETF€Acc,IE000NVM56L3,"0,03 %","0,10 %","0,25 %","0,73 %","1,56 %",—,—,—,—,—
iShares € Floating Rate Bd AdvcdETF€Dist,IE00BF5GB717,"0,02 %","0,16 %","0,23 %","0,71 %","1,49 %","2,40 %","3,11 %","3,76 %","2,09 %",—
iShares € Govt Bond 0-1yr ETF EUR Dist,IE00B3FH7618,"−0,01 %","0,02 %","0,20 %","0,48 %","0,93 %","1,82 %","2,41 %","2,74 %","1,25 %","0,33 %"
iShares € Govt Bond 0-1yr ETF MXN H Acc,IE00BMVJSC76,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","19,35 %","19,35 %","11,34 %","8,89 %",—
iShares € Govt Bond 0-3 Mth ETF EUR Acc,IE000JLXYKJ8,"0,02 %","0,02 %","0,18 %","0,49 %","0,99 %","1,79 %",—,—,—,—
iShares € Govt Bond 1-3yr ETF EUR Acc,IE00B3VTMJ91,"−0,07 %","−0,10 %","0,23 %","0,48 %","0,68 %","2,02 %","2,52 %","2,77 %","0,66 %","0,34 %"
iShares € Govt Bond 1-3yr ETF EUR Dist,IE00B14X4Q57,"−0,06 %","−0,04 %","0,30 %","0,61 %","0,66 %","2,07 %","2,66 %","2,79 %","0,67 %","0,35 %"
iShares € Govt Bond 1-3yr ETF MXN H Acc,IE00BMVJSF08,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","8,28 %",—
iShares € Govt Bond 10-15yr ETF EUR Dist,IE00B4WXJH41,"−0,46 %","−0,40 %","1,79 %","1,56 %","0,95 %","1,31 %","0,95 %","4,07 %","−3,77 %","0,17 %"
iShares € Govt Bond 15-30yr ETF EUR Dist,IE00B1FZS913,"−0,74 %","−0,61 %","2,62 %","1,09 %","−1,53 %","−3,54 %","−3,52 %","1,64 %","−8,09 %","−1,19 %"
iShares € Govt Bond 20y TgtDur ETF€ Dist,IE00BSKRJX20,"−0,72 %","−0,58 %","3,24 %","0,24 %","−4,23 %","−7,51 %","−7,67 %","−1,06 %","−11,07 %","−1,91 %"
iShares € Govt Bond 3-5yr ETF EUR Dist,IE00B1FZS681,"−0,17 %","−0,16 %","0,56 %","0,72 %","0,57 %","2,42 %","2,79 %","3,03 %","−0,45 %","0,30 %"
iShares € Govt Bond 3-7yr ETF EUR Acc,IE00B3VTML14,"−0,24 %","−0,32 %","0,68 %","0,65 %","0,90 %","2,62 %","2,71 %","3,26 %","−0,75 %","0,31 %"
iShares € Govt Bond 5-7yr ETF EUR Dist,IE00B4WXJG34,"−0,30 %","−0,30 %","0,84 %","1,04 %","0,79 %","2,61 %","2,95 %","3,50 %","−1,25 %","0,32 %"
iShares € Govt Bond 7-10yr ETF EUR Acc,IE00B3VTN290,"−0,36 %","−0,34 %","1,23 %","1,22 %","0,77 %","2,24 %","1,55 %","3,53 %","−2,63 %","0,20 %"
iShares € Govt Bond 7-10yr ETF EUR Dist,IE00B1FZS806,"−0,35 %","−0,35 %","1,21 %","1,40 %","0,77 %","2,00 %","1,59 %","3,54 %","−2,62 %","0,21 %"
iShares € Govt Bond Climate ETF EUR Acc,IE00BLDGH553,"−0,37 %","−0,38 %","1,02 %","1,11 %","0,34 %","1,21 %","1,08 %","2,97 %","−2,73 %",—
iShares € Green Bond ETF EUR Inc,IE00BMDBMN04,"−0,26 %","−0,32 %","0,94 %","0,85 %","0,77 %","1,50 %","1,77 %","4,01 %",—,—
iShares € High Yield Corp Bd ETF USDHAcc,IE00BF3NC260,"0,17 %","0,63 %","0,15 %","1,34 %","4,07 %","5,83 %","7,27 %","10,72 %","5,29 %",—
iShares € High Yield CorpBd ETF EUR Dist,IE00B66F4759,"0,10 %","0,54 %","−0,02 %","0,65 %","2,91 %","4,27 %","5,31 %","8,62 %","3,55 %","3,11 %"
iShares € High Yield CorpBd ETF USDHDist,IE000GE2BEZ9,"0,19 %","0,28 %","0,62 %","1,52 %","4,02 %","3,19 %","4,26 %",—,—,—
iShares € HY Corp Bd ESG SRI ETF CHFHAcc,IE00BMWPV587,"0,09 %","0,28 %","0,27 %","0,86 %","2,64 %","3,22 %","3,75 %","6,68 %",—,—
iShares € HY Corp Bd ESG SRI ETF EUR Acc,IE00BJK55C48,"0,15 %","0,47 %","0,37 %","1,36 %","3,86 %","5,09 %","6,35 %","9,18 %","3,33 %",—
iShares € HY Corp Bd ESG SRI ETF GBPHAcc,IE000YZVB4R7,"0,10 %","0,40 %","0,55 %","1,98 %","4,89 %","6,79 %","8,37 %",—,—,—
iShares € HY Corp Bd ESGPrs-AlgndClmtETF,IE000H92C4B8,"0,11 %","0,44 %","0,23 %","1,23 %","3,65 %","4,81 %","5,80 %",—,—,—
iShares € Inflat Lnkd GovtBd ETF EUR Acc,IE00B0M62X26,"−0,39 %","−0,12 %","1,14 %","0,67 %","0,83 %","1,52 %","0,79 %","2,69 %","0,95 %","1,36 %"
iShares € Ultrashort Bond ETF CHF H Acc,IE0004WPSAM9,"0,00 %","0,00 %","< 0,01 %","< 0,01 %","0,16 %","0,28 %",—,—,—,—
iShares € Ultrashort Bond ETF EUR Acc,IE000RHYOR04,"0,03 %","0,13 %","0,21 %","0,59 %","1,22 %","2,35 %","2,96 %","3,44 %",—,—
iShares € Ultrashort Bond ETF EUR Dist,IE00BCRY6557,"0,00 %","0,07 %","0,21 %","0,54 %","1,20 %","2,24 %","2,95 %","3,44 %","1,81 %","0,91 %"
iShares € Ultrashort ESG SRI ETF EUR Acc,IE000NBRE3P7,"−0,02 %","0,07 %","0,20 %","0,55 %","1,22 %","2,17 %","2,87 %",—,—,—
iShares € Ultrashort ESG SRI ETF EUR Inc,IE00BJP26D89,"−0,06 %","0,09 %","0,15 %","0,53 %","1,29 %","2,19 %","2,84 %","3,39 %","1,77 %",—
ITI Funds RTS Equity ETF A USD,LU1483649312,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","5,18 %",—
ITI Funds Russia-Fcs USD EurobondETFAUSD,LU1483649825,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","−3,43 %",—
Jacobi FT Wilshire Bitcoin ETF,GG00BMTPK874,"−7,46 %","−7,46 %","−2,85 %","−6,43 %","23,97 %","7,62 %","80,05 %",—,—,—
Janus Henderson $ AAA CLO Actv CrETF$Acc,LU2994520851,"< 0,01 %","0,10 %","0,24 %","1,27 %","3,05 %",—,—,—,—,—
Janus Henderson $ AAA CLO ActvCrETF€HAcc,LU2994521073,"−0,02 %","0,05 %","0,06 %","0,67 %",—,—,—,—,—,—
Janus Henderson EUR AAA CLOActvCrETF€Acc,LU2941599081,"−0,01 %","0,06 %","0,17 %","0,75 %","2,15 %","2,76 %",—,—,—,—
Janus Henderson PnEurpHiCnvctEqETFEURAcc,IE0002A3VE77,"0,51 %","1,77 %","5,32 %","7,56 %","17,61 %","24,62 %",—,—,—,—
Janus Henderson €ShrtDurIncActvCrETF€Acc,IE000CCQKON9,"−0,04 %","0,00 %","0,16 %","0,64 %",—,—,—,—,—,—
JanusHenderson$MortgBckdScsActvCrETF$Acc,IE000YMBL844,"0,02 %","0,17 %","1,11 %","4,37 %",—,—,—,—,—,—
JanusHendersonUSTrnsfmGrHConvctEqETF$Acc,IE0009ZTL4B5,"1,71 %","2,31 %","0,66 %","8,93 %",—,—,—,—,—,—
JH EUR IG Bd Prs-Algn Clmt ETF € Acc,IE00BN4GXL63,"−0,10 %","−0,02 %","0,70 %","1,02 %","1,91 %","3,19 %","3,61 %","5,35 %",—,—
JH EURUltrshrtIGBdParis-algdClmtETF€,IE000WXLHR76,"0,01 %","0,12 %","0,20 %","0,52 %","1,11 %","2,09 %","2,66 %",—,—,—
JH FTSE Indian Gvt Bd Shrt Dur ETF $,IE000061JZE2,"0,00 %","0,00 %","0,06 %","−1,96 %","−1,42 %","2,21 %","1,25 %",—,—,—
JH GCC Sovereign USD Bds ETF $£H Inc,IE000LJG9WK1,"0,10 %","0,68 %","1,31 %","4,72 %","6,86 %","9,58 %","7,99 %",—,—,—
JH GCC Sovereign USD Bonds ETF $ Acc,IE000L1I4R94,"0,09 %","0,65 %","1,32 %","4,66 %","7,29 %","9,90 %","8,36 %",—,—,—
JH Glb IG Crdt Crv Stpnr ETF EUR Acc,IE00BMQ5Y557,"−0,01 %","0,12 %","0,03 %","1,59 %","2,25 %","2,18 %","3,15 %","4,61 %","2,23 %",—
JH HaitongAsiaexJpnHYCrp$BdScrnETF$,IE000LZC9NM0,"0,07 %","0,30 %","0,63 %","3,86 %","6,16 %","9,09 %","7,95 %","16,19 %",—,—
JH US Enhanced Infla ETF CHF H,IE00BKX90W50,"−0,00 %","0,18 %","−0,08 %","0,65 %","1,86 %","4,33 %","1,76 %","0,21 %",—,—
JH US Enhanced Infla ETF EUR H,IE00BKX90X67,"0,00 %","−0,03 %","−0,07 %","1,02 %","3,85 %","5,64 %","3,72 %","2,00 %","2,10 %",—
JH US Enhanced Infla ETF USD,IE00BMDWWS85,"−0,21 %","0,30 %","0,12 %","1,84 %","3,99 %","7,83 %","6,14 %","4,38 %","4,04 %",—
JHEURUltrshrtIGBdParis-algdClmt£HAcc,IE000P7C7930,"−0,03 %","0,10 %","0,32 %","0,96 %","2,09 %","3,75 %","4,57 %",—,—,—
JHGlbHYFllnAnglsPrsalgndClmtETFEURHA,IE000LH4DDC2,"0,32 %","1,05 %","0,35 %","2,71 %","6,56 %","6,61 %","6,36 %",—,—,—
JHGlbHYFllnAnglsPrsalgndClmtETFGBPHD,IE000LSFKN16,"0,34 %","1,08 %","0,51 %","3,24 %","7,69 %","8,04 %","8,34 %",—,—,—
JHGlbHYFllnAnglsPrsalgndClmtETFUSDA,IE000JL9SV51,"0,40 %","0,97 %","0,12 %","2,61 %","8,09 %","11,13 %","10,19 %",—,—,—
JHHaitongAsiaexJpnHYCrp$BdScrnETFH£A,IE000GETKIK8,"0,08 %","0,31 %","0,61 %","4,40 %","6,13 %","8,84 %","7,26 %","15,26 %",—,—
JHHaitongAsiaexJpnHYCrp$BdScrnETFH€D,IE000DOZYQJ7,"0,21 %","0,40 %","0,50 %","3,17 %","4,97 %","7,27 %","5,22 %","13,29 %",—,—
JPM AC APAC exJPRshEnhIdxEqActETF$Acc,IE00BMDV7354,"0,96 %","2,62 %","3,64 %","9,61 %","28,49 %","29,19 %","23,12 %","20,49 %",—,—
JPM All Cntry Rsh Enh Idx Eq Act ETF$Acc,IE000A7N3IV0,"0,96 %","2,42 %","2,44 %","6,21 %","22,86 %","18,46 %",—,—,—,—
JPM All Cntry Rsh Enh Idx Eq ActETF€HAcc,IE0001JABD69,"0,80 %","2,41 %","2,65 %","6,31 %","21,64 %","14,45 %",—,—,—,—
JPM All Cntry Rsh Enh IdxEqActETFCHFHAcc,IE000DSDL3Z6,"1,22 %","2,27 %","1,94 %","5,67 %","20,45 %","12,74 %",—,—,—,—
JPM BetaBuilders China Aggt Bd ETF $ acc,IE000TB7IEF3,"−0,05 %","−0,03 %","0,08 %","0,41 %","2,53 %","2,61 %","2,80 %","4,57 %",—,—
JPM Betabuilders China Aggt Bd ETF $Hdis,IE000V2GJJQ3,"0,05 %","0,13 %","0,51 %","0,92 %","1,88 %","2,33 %","5,59 %","6,66 %",—,—
JPM BetaBuilders China Aggt Bd ETF €Hacc,IE000B8M14I0,"0,05 %","−0,02 %","0,15 %","0,11 %","0,41 %","0,49 %","3,33 %","4,44 %",—,—
JPM BetaBuilders EUR Govt Bond ETFEURAcc,IE00BJK9HD13,"−0,31 %","−0,33 %","1,15 %","0,99 %","0,65 %","1,28 %","1,21 %","2,97 %","−2,74 %",—
JPM BetaBuilders EURGovtBd1-3yrETFEURAcc,IE00BYVZV757,"−0,08 %","−0,08 %","0,29 %","0,47 %","0,75 %","2,10 %","2,55 %","2,65 %","0,49 %",—
JPM BetaBuilders UK Gilt 1-5 yrETFGBPInc,IE00BD9MMC32,"−0,04 %","0,27 %","0,90 %","1,27 %","2,01 %","4,85 %","4,61 %","3,75 %","0,51 %",—
JPM BetaBuilders US Equity ETF USD Acc,IE00BJK9H753,"1,25 %","2,93 %","2,33 %","6,97 %","25,95 %","16,12 %","18,79 %","23,46 %","15,62 %",—
JPM BetaBuilders US Treasury Bd0-3MnETF$,IE00BMD8KM66,"0,03 %","0,14 %","0,36 %","1,07 %","2,06 %","3,47 %","4,39 %","4,82 %",—,—
JPM BetaBuilders US Treasury BdETFUSDAcc,IE00BJK9HH50,"0,01 %","0,13 %","1,21 %","3,42 %","3,99 %","6,40 %","5,29 %","4,73 %","−1,15 %",—
JPM BetaBuilders US TreasuryBdETFGBPHAcc,IE00BK6Q9938,"−0,08 %","0,09 %","1,15 %","3,28 %","3,72 %","6,15 %","5,12 %","4,09 %","−1,63 %",—
JPM BetaBuilders US Trs Bd0-1yrETFUSDAcc,IE00BJK3WF00,"< 0,01 %","0,07 %","0,36 %","1,12 %","2,10 %","3,55 %","4,40 %","4,79 %","2,91 %",—
JPM BetaBuilders US TrsBd1-3 yrETFUSDAcc,IE00BD9MMD49,"−0,03 %","−0,03 %","0,51 %","1,64 %","2,41 %","4,45 %","4,82 %","4,54 %","1,59 %",—
JPM BetaBuilders USTrsBd1-3 yrETFMXNHAcc,IE000C9RWXK5,"0,06 %","0,12 %","0,90 %","2,73 %","4,62 %","8,62 %","10,35 %","10,91 %","7,51 %",—
JPM Carb Transition Glbl Eq(CTB)ETF$Acc,IE00BMDWYZ92,"0,91 %","2,39 %","1,79 %","5,78 %","21,51 %","17,03 %","17,99 %","21,34 %",—,—
JPM Carb Transition Glbl Eq(CTB)ETF€HAcc,IE000W95TAE6,"2,61 %","2,61 %","2,12 %","7,56 %","21,00 %","13,64 %","14,09 %","15,01 %",—,—
JPM Carbon Trnstn Chn Eq (CTB) ETFUSDAcc,IE000G3A6RN7,"−0,95 %","1,44 %","−3,03 %","7,66 %","22,58 %","32,40 %","28,04 %",—,—,—
JPM China A Rsh Enh Idx Eq Actv ETF$Acc,IE00BMDV7578,"1,26 %","3,05 %","2,66 %","14,50 %","28,28 %","25,55 %","22,21 %","9,34 %",—,—
JPM China A Rsh Enh Idx Eq Actv ETF$Dis,IE000DS9ZCL4,"1,27 %","3,06 %","2,76 %","14,51 %","28,30 %","25,58 %","22,23 %","9,24 %",—,—
JPM Climate Change Solu Act ETF USD Acc,IE000O8S1EX4,"1,59 %","2,50 %","4,89 %","5,18 %","24,74 %","20,72 %","11,08 %","17,27 %",—,—
JPM EM Lcl Ccy Bd Act ETF USD Acc,IE000TGCBXG8,"0,00 %","0,09 %","0,17 %","3,08 %","9,46 %",—,—,—,—,—
JPM EUR 1-5 yr IG Corp Bd Act ETF EURacc,IE00BF59RW70,"−0,06 %","< 0,01 %","0,44 %","0,80 %","1,83 %","3,33 %","3,79 %","5,14 %","1,12 %",—
JPM EUR Aggregate Bond Act ETF CHF H Acc,IE000IEECNE6,"−0,16 %","−0,14 %","0,89 %","0,65 %","0,54 %",—,—,—,—,—
JPM EUR Aggregate Bond Act ETF EUR Acc,IE00049TNTV6,"−0,25 %","−0,20 %","0,97 %","1,25 %","1,51 %",—,—,—,—,—
JPM EUR Government Bond Act ETF EUR Acc,IE000JUREXG2,"−0,35 %","−0,27 %","1,10 %","1,12 %","0,76 %",—,—,—,—,—
JPM EUR High Yield Bd Act ETF EUR Acc,IE000IEOQSJ3,"0,08 %","0,46 %","0,06 %","0,99 %","3,80 %","4,54 %",—,—,—,—
JPM EUR IG Corp Bd Act ETF EUR Acc,IE00BF59RX87,"−0,08 %","−0,01 %","0,71 %","1,15 %","2,17 %","3,42 %","3,95 %","5,95 %","0,17 %",—
JPM EUR IG Corp Bd Act ETF GBP H Acc,IE000IZS2303,"−0,09 %","0,01 %","0,88 %","1,66 %","3,25 %","5,07 %","6,01 %","7,65 %",—,—
JPM EUR Ultra-Short Inc Act ETF EUR Acc,IE00BD9MMF62,"−0,01 %","0,03 %","0,17 %","0,51 %","1,15 %","2,18 %","2,71 %","3,32 %","1,70 %",—
JPM Europe Rsrch Enh Eq Act ETF EUR Acc,IE00BF4G7183,"0,22 %","1,51 %","4,74 %","5,07 %","11,24 %","15,41 %","12,78 %","15,49 %","12,72 %",—
JPM Eurozone Rsch EnhcdIdxEqActETFEURacc,IE00004PGEY9,"0,24 %","1,12 %","3,93 %","5,21 %","12,58 %","20,06 %","18,43 %","18,91 %",—,—
JPM Eurozone RschEnhcdIdxEqActETFCHFHacc,IE000DXIJHF2,"−0,05 %","0,29 %","3,16 %","4,56 %","11,34 %","18,29 %","14,77 %",—,—,—
JPM Eurp Rsh Enh Idx Eq SRI PAActETF€Acc,IE0003UN5CT1,"0,18 %","1,34 %","4,37 %","4,85 %","12,12 %","15,80 %",—,—,—,—
JPM GBP Ultra-Short Inc ETF Act GBP Acc,IE00BG47J908,"−0,00 %","0,11 %","0,51 %","1,19 %","2,54 %","4,15 %","4,90 %","5,03 %","2,98 %",—
JPM GBP Ultra-Short Inc ETF Act GBP Inc,IE00BD9MMG79,"−0,03 %","0,09 %","0,51 %","1,19 %","2,52 %","4,12 %","4,88 %","5,03 %","2,97 %",—
JPM Glb EM Rsh Enh Idx EqSRIPAActETF$Acc,IE000ANHU3J3,"1,07 %","2,14 %","3,42 %","11,57 %","28,90 %",—,—,—,—,—
JPM GlbRshEnhIdxEqSRIPrsAlgnActETFEURAcc,IE0003JSNHV9,"0,78 %","2,54 %","3,52 %","7,35 %","18,48 %","5,41 %","8,82 %",—,—,—
JPM GlbRshEnhIdxEqSRIPrsAlgnActETFUSDAcc,IE000BXC49I6,"0,95 %","2,23 %","2,45 %","5,98 %","21,88 %","17,31 %","17,14 %",—,—,—
JPM GlbRshEnhIdxEqSRIPrsAlgnActETFUSDInc,IE000FYTRRJ6,"0,99 %","2,21 %","2,47 %","6,01 %","21,82 %","17,16 %","17,08 %",—,—,—
JPM Global Aggt Bd Act UC ETF CHF H Acc,IE000LKQ2K98,"0,00 %","0,17 %","0,33 %","1,39 %","1,49 %","1,13 %","0,48 %",—,—,—
JPM Global Aggt Bd Act UC ETF EUR H Acc,IE000PQQLZM7,"−0,11 %","0,10 %","0,73 %","2,13 %","2,41 %","3,32 %","2,91 %",—,—,—
JPM Global Aggt Bd Act UC ETF GBP H Acc,IE0000F1IQZ8,"0,01 %","0,12 %","1,01 %","2,79 %","3,70 %","4,87 %","5,05 %",—,—,—
JPM Global Aggt Bd Act UC ETF USD Acc,IE0006MM8VN6,"0,02 %","−0,09 %","0,22 %","1,67 %","3,34 %","8,04 %","5,83 %",—,—,—
JPM Global Aggt Bd Act UC ETF USD H Acc,IE0003CEOZG5,"0,00 %","0,25 %","0,87 %","2,71 %","3,86 %","5,53 %","5,46 %",—,—,—
JPM Global EM Rsh Enh Eq Act ETF USD Acc,IE00BF4G6Z54,"0,76 %","2,19 %","3,47 %","11,33 %","28,94 %","33,10 %","26,53 %","21,12 %","6,15 %",—
JPM Global Equity Multi-Fac ETF USD Acc,IE00BJRCLL96,"0,49 %","1,73 %","1,40 %","3,50 %","13,17 %","15,40 %","11,09 %","16,15 %","11,82 %",—
JPM Global Eqy Prm Inc Act UC ETF USDAcc,IE000WX7BVB0,"−0,37 %","−0,20 %","0,59 %","1,10 %","1,63 %","9,73 %","6,57 %",—,—,—
JPM Global Govt Bd Act ETF CHF H Acc,IE000IBVEUA5,"−0,07 %","0,02 %","0,74 %","1,25 %",—,—,—,—,—,—
JPM Global Govt Bd Act ETF EUR H Acc,IE0008P6LL15,"0,00 %","0,00 %","0,03 %","1,08 %",—,—,—,—,—,—
JPM Global Govt Bd Act ETF USD Acc,IE000JS4ANL9,"−0,05 %","−0,20 %","0,29 %","0,88 %",—,—,—,—,—,—
JPM Global HY Corp BdMlt-Fc ETFActUSDAcc,IE00BKKCKJ46,"0,29 %","0,58 %","0,02 %","2,25 %","6,81 %","9,61 %","9,52 %","10,88 %","4,51 %",—
JPM Global HYCorpBdMlt-Fct ETFActCHFHAcc,IE000MO5BTJ4,"0,16 %","0,34 %","−0,23 %","1,39 %","4,28 %","3,66 %","3,57 %","5,72 %",—,—
JPM Global HYCorpBdMlt-Fct ETFActEURHInc,IE000YK1TO74,"0,17 %","0,39 %","−0,03 %","1,94 %","5,41 %","5,63 %","6,02 %","8,04 %",—,—
JPM Global HYCorpBdMlt-Fct ETFActGBPHInc,IE00BKV0QF55,"0,16 %","0,75 %","0,26 %","2,44 %","6,46 %","7,41 %","8,38 %","9,57 %","4,28 %",—
JPM Global IG Corp Bd Act ETF CHF H Acc,IE00009C3XN7,"0,00 %","0,03 %","0,52 %","2,05 %",—,—,—,—,—,—
JPM Global IG Corp Bd Act ETF EUR H Acc,IE00048C5NZ0,"0,00 %","0,25 %","0,74 %","2,64 %",—,—,—,—,—,—
JPM Global IG Corp Bd Act ETF USD Acc,IE000S2QZKI8,"0,07 %","0,19 %","0,79 %","2,73 %",—,—,—,—,—,—
JPM Global Rsrch Enh Eq Act ETF EUR HAcc,IE0000UW95D6,"0,88 %","2,45 %","2,50 %","5,80 %","21,26 %","13,37 %","14,32 %","19,32 %",—,—
JPM Global Rsrch Enh Eq Act ETF GBP HAcc,IE000D9DX847,"0,98 %","2,50 %","2,75 %","6,41 %","22,66 %","15,17 %","16,62 %","20,99 %",—,—
JPM Global Rsrch Enh Eq Act ETF USD Acc,IE00BF4G6Y48,"0,92 %","2,27 %","2,38 %","5,83 %","22,14 %","17,16 %","17,29 %","22,42 %","14,66 %",—
JPM Green Social Sust Bd Act ETF EURHAcc,IE000FBG59J1,"0,12 %","−0,16 %","0,23 %","1,40 %","2,16 %","3,67 %","3,45 %",—,—,—
JPM Green Social Sust Bd Act ETF USD Acc,IE0005FKEK99,"−0,20 %","−0,52 %","−0,46 %","0,74 %","3,93 %","12,46 %","9,31 %",—,—,—
JPM India Rsrch Enh Idx Eq ActvETFUSDacc,IE000ZAJ6XQ2,"−0,30 %","0,06 %","3,40 %",—,—,—,—,—,—,—
JPM Japan Rsrch Enh Eq Act ETF CHF H Acc,IE0003B6RHN4,"0,51 %","2,94 %","4,43 %","10,12 %","26,77 %","16,79 %","23,94 %","22,87 %",—,—
